siteid,title,content
10000,Can I include multiple scanned pages within each PDF?,"If you are using the Financial Aid To Do List, and the documents are in the same group and are comprised of multiple pages, they should be combined into a single PDF file first, and then be uploaded to the appropriate To-Do List item. You can upload multiple PDF files to one To Do List item using the Task Tile To Do List Option. However, if the multiple scanned pages are applicable to multiple To Do List items, you must separate them so that only the correct documents are being uploaded into the appropriate To-Do List item. For example, if you are combining your parents' tax transcript and your tax transcript into one document and uploading it into the Parent Tax Transcript To-Do List item only, this will leave the student tax To-Do List item incomplete. The proper way to address this is to have one PDF file for the parent tax document and another separate PDF file for the student tax documents."
10000,What if I accidentally submitted the wrong document? Can I submit another version?,"All versions of the forms submitted must be stored in our imaging service. However, if you want to be able to upload another PDF for the same To-Do List item, navigate to the Task Tile To Do List and attach the correct PDF file making sure to save. You may also contact our office so that a representative can update your To-Do List item to ""Incomplete"" status. If your To Do List item is currently in a ""Received"" status, you can still upload the corrected PDF file(s) to that item via the Task Tile To Do List."
10000,How long will my documents take to be processed after I upload them?,"The processing time for uploaded verification documents are the same as those being submitted via fax, mail and at the Welcome Center counter. This process can take 3 – 4 weeks and may be even longer during peak times throughout the year. These peak times consist of July, August and September."
10000,May I use my cell phone application to scan documents and save them as a .PDF?,"We recommend that students use the most secure and accessible method to scan documents that may contain sensitive information. If the PDF file meets the electronic criteria as listed above, you may use any method to scan the document. UH does not have a list of recommended smartphone apps for document scanning."
10000,What is the Federal Work-Study Program?,"The Federal Work-Study (FWS) Program is a government subsidized student employment program designed to assist students in financing their post-secondary education. In order to be eligible for Work-Study (WS), students must document financial need every year by completing the Free Application for Federal Student Aid (FAFSA)."
10000,What is Texas Work-Study?,The Texas College Work-Study Program’s purpose is to provide part-time jobs to eligible students with financial need to enable them to attend college. Students must be Texas residents and maintain enrollment of 6 credit hours.
10000,What are the advantages of Work-Study jobs?,"Although a WS job should be treated as any other job, it does have several distinct advantages:
•	Students have the benefit of working in an environment suited to their skills, preferences and possible career goals.
•	Students and Work-Study employers arrange a work schedule around the class schedule.
•	Work-Study wages are not counted towards next year's student contribution for financial aid.
•	Although the majority of WS positions are located on-campus, the program also offers a growing number of off-campus positions. Most off-campus locations are easily reached by automobile or city bus. Regardless of location, the ultimate advantage of a WS position is that it affords students invaluable experience when preparing to enter the job market after graduation, not to mention the departmental and/or professional contacts that can be made.
Studies have consistently shown that students who work no more than 20 hours per week do better academically than students who do not work. Additional time demands appear to force students to manage their time more efficiently, thus necessitating a higher commitment to study time by the student."
10000,Am I allowed to have more than one Work-Study job?,Students are not allowed to hold multiple UH paid positions while being employed as a CWS student.
10000,"I do not have Work-Study, who should I contact","If interested in CWS, please email a request to Workstudy@uh.edu or visit our office to be added to our waitlist. "
10000,What types of jobs are available?,"The On-Campus Work-Study jobs are as diverse as the personnel needs of the University. Clerical assistants, data entry operators, photography technicians, artists and laboratory research assistants are but a few examples.
Off-campus positions with employers/agencies approved to participate in the Federal Work-Study Program offer further variety. These positions are available through non-profit organizations and are usually in areas of community service. Off-campus positions may include Photography, museum guides, public relations, editorial, research assistants, and tutors."
10000,What is Community Service Work-Study?,"Community Service Work-Study is a federally-funded program that allows students to earn their Work-Study award while serving the community in such areas as education, recreation, child care, health care, public safety, social services, crime prevention, emergency preparedness and response, and tutoring and mentoring.
Also, schools can now use Federal Work Study Program funds to compensate students employed in projects that teach civics in schools, raise awareness of government functions or resources, or increase civic participation.
Community Service positions benefit the student as well as the community by increasing awareness of community needs through employment in areas that are dedicated to improving the quality of life for community residents--particularly low-income individuals--or to solve problems related to their needs.
But Community Service is much more than a definition. . . It's the satisfaction you get from knowing that through your time and efforts, you've helped to make your corner of the world a better place to live. Community Service Work-Study is a great way to make a difference in the lives of others and earn your Work-Study (WS) award at the same time. UH Career Service's provides information about the advantages of Community Services employment. Whatever your interests, there is an agency in Houston that can provide you with satisfying and meaningful work experience."
10000,How much will I be paid?,"All jobs offer competitive wages and most pay more than minimum wage based upon experience and skills. The job titles, duties and hourly rates are the same as those for non-WS employees. WS students must also have the same job qualifications as non-WS individuals. Students working at University of Houston- under the Work-Study Program are paid on an hourly-wage basis under wage regulations set by the University's Office of Human Resources. WS students working off-campus are also paid on an hourly basis at wage rates set by the Off-Campus employer."
10000,Am I eligible for benefits?,"No. Work-Study (WS) students are not eligible for paid vacation, sick leave, holidays, or medical and dental insurance through their Work-Study job."
10000,How much can I earn?,"Students may earn up to the amount of their award as listed on the Financial Aid Notification or the Work-Study Authorization Form. Students may not earn more than the amount of the Work-Study (WS) award.
The Federal Work-Study Program reimburses employers 100% of the students' earnings up to the amount of the award. Any wages earned after that amount must be paid 100% by the employer. It is the student's and employer's responsibility to monitor earnings to be sure the award amounts are not exceeded.

Any scholarship counts as a financial resource and must be considered when constructing a student award package. Total student aid cannot exceed a student’s cost of attendance. The cost of attendance (COA) is an estimate of what it costs the typical student to attend the University of Houston. Your COA includes tuition and fees, room and board, books and supplies, transportation and personal expenses. University of Houston awards are subject to change depending on the entire student award package and the students’ COA."
10000,What are the required working hours?,"The work schedule is to be determined by the student and employer. The following guidelines apply.
•	Students should never be scheduled to work during class time.
•	Students should never work more than 8 hours in one day
•	Students should never work more than 20 hours in one week while classes are in session.
•	Students must take a 30-minute break if allowed to work a consecutive 6 hour period.
•	Student may work up to 39 hours in one week only during approved breaks when classes are not in session."
10000,How do I apply for a job?,"To apply for Work-Study jobs, you must accept your Work-Study award via your?myUH self-service account. After accepting the award and enrolling in the minimum of six (6) credit hours, you will have access to apply for any job posting on Cougar Pathway within four weeks prior to the start of the semester."
10000,What if I do NOT get a job?,"If students are enrolled at least half-time and do not get a Work-Study job within the first two weeks of the start of class, their Work-Study award will be canceled for the academic year. Once canceled, the Work-Study awards — will not be reinstated. In addition, this may jeopardize the awarding of any future Work-Study."
10000,How do I get my Work-Study money?,"To receive their Work-Study funds, students must get a job, work no more than 20 hours per week, and earn it! Students are strongly encouraged to begin the job search as early as possible. Many popular WS positions are highly sought after and tend to be filled fast!
Upon hiring by The University of Houston, the hiring department must complete the Electronic On-Campus Position Action Request (EPAR) and submit it through workflow. The hiring department also ensures the student completes:
•	The University of Houston's Personal Data Sheet, Public Access Authorization, Selective Service Registration, Federal Employment Inquiry, Patent Disclosure and Assignment Agreement and Direct Deposit Acknowledgement and acknowledgment of Personal Documents Receipt
•	The INS Employment Eligibility Verification (I-9) must be completed within three days of hire. The Authorization to Work section provides information about the documents required for proof of citizenship
•	Form W-4 Employee's Withholding Allowance Certificate.
Work-Study students are paid bi-weekly. On Campus employees work week always begins on Wednesday and ends on Tuesday. Work-Study students must sign in for work as they report to work and sign out as they leave on each occasion.
Upon hire by an off-campus employer approved to participate in the Federal Work-Study Program, the Work-Study student will be paid according the Agency Payroll Schedule, which must be on file in the University's College Work-Study Office."
10000,Will I get Work-Study every semester?,"Work-Study eligibility is based upon performing the assigned job duties in a satisfactory manner, maintaining satisfactory academic progress, continuing to show financial need, and the timeliness of your Financial Aid Application.
If a student's eligibility changes at any time during the award period, the WS award (as well as any other financial aid awards) may be re-evaluated. This often occurs when the Office of Scholarships & Financial Aid learns of additional resources, e.g. scholarships or tuition waivers, and must reduce the amount of WS award.
Also, eligibility from one year to the next is not guaranteed. Each year students must complete a need-analysis form called the Free Application for Federal Student Aid (FAFSA) to determine eligibility for financial aid, including Work-Study. Students should apply by the April1st priority deadline, since Work-Study funding is limited.
As with all Financial Aid Satisfactory academic progress is monitored. Under no circumstances may students continue Work-Study employment after dropping below half-time enrollment."
10000,Rights and Responsibilities for Work-Study,"By accepting a WS position, students become members of a department or agency that depends on them.
•	Students should report to work on time, notify the supervisor when they will be late or absent, and dress appropriately for the work location (dress code should be discussed during the interview).
•	When asking for time off, students should consider the employer's needs as well as their own.
•	In addition, some WS positions may require access to confidential information--abuse or misuse of such authorization is grounds for dismissal!
•	Students cannot earn more than the Work-Study award as listed on the Financial Aid Notification.
•	It is the student's and employer's responsibility to monitor earnings to be sure they do not exceed the award amount using the Work-Study Balance Sheet.
•	If a problem develops on the job, the first point of contact should be the supervisor.
•	If the problem cannot be resolved, the student should contact the Work-Study Office in the Office of Scholarships & Financial Aid.
•	Quitting a WS job should be a decision of last resort.
•	There is no guarantee that the Work-Study award can be replaced with another type of aid or that the student can secure another WS position.
•	Students agree to abide by the regulations and policies as outlined in the Work-Study Employee Manual.
•	Failure to follow these policies and regulations may result in the cancellation of their Work-Study award and the loss of their Work-Study position.
•	Acceptance of a position through Work-Study implies a commitment to the employer for at least one semester."
10000,Additional Employment for Work-Study,"If WS students earn the total amount of the WS award prior to the end of the award period, they may wish to continue their work relationship with the employer. This is considered additional employment, not another Work-Study position and the employer must pay 100% of the student's wages out of their own funds. Income earned in the non-WS position will be treated as base-year income and will be counted toward next year's student contribution for financial aid. Before accepting additional employment, the student may want to discuss the implications of such employment with the Office of Scholarships & Financial Aid."
10000,How does Cougar Promise work and what does it cover?,"The University of Houston Cougar Promise covers both tuition and mandatory fees for eligible students and students from families with an Adjusted Gross Income (AGI) of $65,000 or less. Independent or dependent students with an AGI from $65,001 to $125,000 may qualify for tuition support ranging from $500 to $2,000. Cougar Promise utilizes a combination of grants (i.e., Pell, TEXAS and institutional grants, etc.) and various other resources as determined by the FAFSA or TASFA. Please note that if a student loses eligibility for TEXAS Grant due to being in arrears on child support, student will also lose Cougar Promise eligibility."
10000,What is the application deadline for the Cougar Promise?,"Cougar Promise does not require a separate application process. You must submit all your required admissions documents and complete the Free Application for Federal Student Aid (FAFSA) or the Texas Application for State Financial Aid (TASFA) by the priority deadline of January 15 to be considered. Submit all requested financial aid forms and supporting documents by this same date. You must provide a valid social security number to UH on your application for admission or directly to the Office of the University Registrar by the priority deadline to allow for processing of your FAFSA and consideration for Cougar Promise. Because students do not know in advance if they have been chosen for verification, families should consider submitting the FAFSA by December 1."
10000,Does Cougar Promise provide assistance for transfer students?,"Cougar Promise is a program for new entering freshmen. However, the University of Houston offers eligible transfer students the Transfer Excellence and Transfer Achievement scholarships, along with an array of federal, state and institutional grants, loans and work-study."
10000,Does Cougar Promise require full-time enrollment?,"Yes, students are required to be enrolled in a minimum of 12 credits at the University of Houston for both fall and spring terms. We strongly encourage students to enroll in 15 credits per term to ensure on-time graduation."
10000,Is Cougar Promise available for summer terms?,Cougar Promise is a fall and spring program.
10000,Is Cougar Promise renewable?,"Yes, Cougar Promise is available for up to four years or five years for the Bachelor of Architecture 160 credit degree plan. To be eligible for renewal students must earn at least a 2.5 cumulative GPA and a minimum of 24 credit hours per academic year. Thirty credit hours per year are preferable to ensure on-time graduation. Students must file a FAFSA or TASFA each year by the State of Texas priority deadline and maintain income and need eligibility."
10000,Does Cougar Promise cover books as well as room & board?,Cougar Promise is a commitment to assist students in meeting the cost of tuition and mandatory fees. Students may be eligible to receive additional scholarships and financial aid that can cover books as well as room and board.
10000,How will I be notified if I receive “Cougar Promise”?,"“Cougar Promise” is a commitment from the University of Houston to provide tuition coverage or support to qualifying Texas families, though it will not appear as an individual item on your financial aid offer. Eligible students will receive a separate communication providing the details of your assistance.
Please reach out to Scholarships & Financial Aid at sfa@central.uh.edu or call (713) 743-1010, option 5 for additional Cougar Promise questions."
10000,Will all of my previous aid transfer to UH?,"Financial aid does not directly transfer between colleges. Instead, UH will recalculate your eligibility for the Federal Pell Grant Program and Federal Direct Loans based on the information on your FAFSA, your confirmed UH enrollment, and the previously disbursed amounts at your prior institution. If you are transferring for the spring semester, the amount of federal student aid for which you are eligible will be reduced by the amount of federal student aid you received and “earned” at the previous institution. Certain types of Federal aid eligibilities, such as the Federal Pell Grants Program and Federal Direct Loans, are portable, while campus-based aid such as institutional grants and work-study are not. In addition, any money awarded by your prior institution from its own funds will not transfer."
10000,Do I get additional financial aid for housing?,"There aren’t additional sources of Financial Aid funding for students who select on-campus or off-campus housing. In order to defer housing fees using financial aid you must have enough accepted aid to cover all registration fees and tuition amounts, as well as the full amount of the housing charges."
10000,My awards are not enough to cover my fees and school supplies. How do I apply for additional funds?,"There are several ways to obtain additional funds for your education.
•	If you are a dependent student, your parent may apply for a Federal Parent PLUS Loan to help with educational expenses. If they are denied, you can request an additional Federal Direct Unsubsidized Loan.
•	For both dependent and independent students, you may also apply for alternative loans.
•	When requesting additional funds or applying for alternative loans, we can only approve an amount that will not exceed your cost of attendance (COA) for the University of Houston.
•	Please note that during the start of the semester, the processing times for Federal PLUS Loans and alternative loans may take a few weeks. We advise students to select a deferment or payment plan if loan application is still in process."
10000,What if I am not approved for a Federal Direct Parent PLUS Loan?,"If your parent applies for the Federal Direct Parent PLUS Loan and receives a denial letter, you will be offered additional Federal Direct Unsubsidized Loan funds based on your grade level eligibility."
10000,What factors influence my ability to borrow and the amount I can borrow?,"•	All students are awarded on an assumed full-time enrollment status, your aid will be adjusted according to your actual enrollment after the official reporting day of the term and may affect the amount of your refund.
•	Undergraduate students must be enrolled in at least 6 hours to be eligible for loans.
•	When you transfer credits from one school to another, it is possible that not all of your credits will be accepted. This may affect your class level (sophomore or junior status), and you may only be able to borrow the lesser amount of the sophomore level.
•	If your prior institution has not cancelled any active spring aid for you, you will not be eligible for awards at UH; any aid already awarded at UH will be cancelled."
10000,How is my cost of attendance calculated? ,"To calculate your financial aid, the Office of Scholarships and Financial Aid will estimate what it will cost you to attend the University of Houston. Items included in the cost of attendance:
•	Tuition and Fees ? The average cost of tuition and fees for a typical student is based on enrolling for 30 hours per year. The actual costs that a student incurs will vary depending on the student’s degree of study.
•	Room and Board ? A reasonable estimate of what it would cost to live in Houston while attending school. Actual costs may vary by individual choices related to location and circumstances.
•	Books and Supplies ? The average cost of books and supplies for a typical student for an entire academic year.
•	Transportation ? Represents travel to and from your residence and transportation costs to and from class and work.
•	Personal ? Personal items not included in room and board expenses."
10000,"If I am only seeking a certificate, can I receive financial aid for that?","No, all students must be enrolled in a degree-seeking program to qualify for federal and state financial aid."
10000,I've been selected for verification. What does this mean?,"Verification is a random quality-control method used by the U.S. Department of Education to check the accuracy of information submitted on the FAFSA. All schools that disburse Federal Title IV Funds are required to participate in the verification process. The verification process is a manual review of your application and requires a minimum of 2 ? 3 weeks for processing (4 ? 6 weeks processing during July, August and September). For more information on the verification process, please contact your Financial Aid Advisor or the myUH Enrollment Services Call Center at 713-743-1010, option 5."
10000,What information is subject to verification?,"•	Household size
•	Number in college
•	Receipt of food stamp benefits
•	Child support paid
•	For tax filers
•	Adjusted gross income (AGI)
•	Income tax paid
•	Untaxed IRA distributions
•	Untaxed pensions
•	Education credits
•	IRA deductions
•	Tax-exempt interest
•	For non-filers
•	Income earned from work"
10000,What additional application requirements might be requested if I am selected for verification?,"Once your FAFSA is submitted, your information will be verified by matching the information on your FAFSA with a series of federally mandated data (Social Security Number, date of birth, name, selective service status, citizenship status, and default status). You may also be selected for the verification process by the U.S. Department of Education, which is a random quality control method used to check the accuracy of information submitted on the FAFSA."
10000,What is the difference between a tax transcript and a tax return?,"A tax return is the form that taxpayers file with the IRS when they pay taxes or request a refund. If you have a tax transcript initiated on your myUH To-Do list, you can provide a signed copy of the exact form you filed, which may be IRS Form 1040, 1040-A or 1040-EZ, depending on the tax year and your individual tax situation.

If you do not have access to your tax return documents for the indicated year you can request a tax return transcript from the IRS. A tax transcript is a summary of your tax return provided by the IRS. Please click here to request your tax return transcript.

As a reminder, you can submit you and/or your parent’s tax return information via the FAFSA using the IRS Data Retrieval Tool. Because this method is electronic and instantaneous, it is preferred."
10000,How can I request a tax transcript?,"You may contact the IRS using one of the below methods to request a tax transcript. Please allow 7-10 business days for delivery.
Online: https://www.irs.gov/individuals/get-transcript
Telephone: (800) 908-9946
IRS Form: 4506T-EZ (Short Form Request for Individual Tax Return Transcript)"
10000,"What does ""Disbursement"" mean?","Financial aid disbursement is a process that takes place on or after the first class day of each term. Financial aid is defined as “anticipated or pending aid” until it actually ""disburses"" into a student’s account. When we ""disburse"" your financial aid, we credit your pending financial aid awards to your balance due."
10000,When will financial aid disburse to my student financial account?,"Financial aid is awarded to students' accounts as pending/anticipated aid prior to the start of each term. All institutional scholarships and loans will begin disbursing the first week of classes (this can be delayed if you have session courses that start in months other than August and January). All Grants will disburse after the 12th class day of your latest enrolled session which is referred to as the ""official reporting date"" (ORD). This allows students to make changes to their enrollment status prior to the Official Reporting Day without adversely affecting their financial aid status. To view the specific disbursement dates for the semester, please visit out disbursement page. To view the start dates and Official Reporting dates of all sessions, please visit the Academic Calendar page."
10000,Why aren’t my estimated awards showing up as pending/anticipated financial aid?,"Estimated awards are not finalized, and it is likely we are still needing additional documentation from you to be able to finalize your awards. Please check your myUH self-service account To-Do List and submit any requested financial aid documents to our office.

If you have been awarded a TEXAS Grant estimate, you’ll need to submit your final high school transcript to the Office of Admissions to be able to finalize your TEXAS Grant award."
10000,How do I calculate how much I owe to secure my classes for each term based on my pending/anticipated Financial Aid?,"Once financial aid funds are posted to your myUH self-service account (and you have accepted the aid offer) as pending/anticipated aid, you can subtract the semester's aid amount from your semester's ""Charges Due."" The calculated difference is either the amount you owe the University or the amount the University will refund to you. This difference is shown in your myUH self-service account under ""Account Summary."" For example, let's say you have semester ""Charges Due"" due of $2,000, and your accepted pending/anticipated financial aid amount is $1,000. At that time, the amount you would need to pay in order to secure your classes would be $1,000; therefore, your ""Account Summary"" would show $1,000. Students are always advised to check their myUH financial accounts daily during the start of each term as balances and financial aid is subject to adjustment at any time."
10000,What can I do if I do not have enough funds to cover my total term balance?,"Prior to the University payment due date, students can select one of three payment plans offered by the University in order to secure enrollment: 90-Day Emergency Deferment Plan, Short-Term Tuition Deferment Plan (45 Day), or Installment Pay Plan. Deferment and Payment Plans are administered by UH's Student Business Services."
10000,"After my University debts are paid, when will I receive any remaining financial aid funds?","Once financial aid funds are disbursed to a student's account and all University debts are paid, UH will release any remaining funds (refund) to BankMobile. All UH student refunds are then distributed by BankMobile. These funds will be sent to BankMobile within 24 hours of appearing on a student's account. Thereafter, refund processing times are determined by a student's refund preference in BankMobile. Visit https://www.refundselection.com/ to select your method of refund processing (direct deposit to your own bank account or deposit into a BankMobile Vibe Account)."
10000,I'm not eligible for a Federal Direct loan. What are my options?,"Many banks and other private lenders offer educational loans to help you pay for your education. Interest rates may not be as low as the federal programs can offer, but some lenders are able to offer attractive loan options. If you are a Texas resident, you may also want to look into the College Access Loan Program (CAL). For additional loan options, visit our Loans page."
10000,What is the difference between subsidized and unsubsidized Federal Direct Loans?,"Federal Direct Subsidized Federal Loans are offered to undergraduate students based on financial need, and the government pays the interest to the lender while you are in school at least half-time, as well as during any deferment periods. Federal Unsubsidized Loans, on the other hand, are not based on need, and borrowers are responsible for all interest accrued on the loan. Interest payments can be deferred until graduation and then will be capitalized and added to the principal of the loan. You also can make payments on the interest while in school by contacting your loan servicer. Federal Direct Unsubsidized Loans are offered to graduate, professional and undergraduate students."
10000,How will I receive my loan?,Your funds will be received electronically and will be applied to your myUH student account balance. Any remaining funds will be credited and distributed to you by BankMobile. Visit https://www.refundselection.com/ to select your method of refund processing (direct deposit to your own bank account or deposit into a BankMobile Vibe Account).
10000,I have accepted my Federal Direct Loan. Why has it not disbursed?,Please make sure you have completed your Master Promissory Note and Entrance Counseling at StudentAid.gov. Everyone receiving a Federal Direct Loan must complete a MPN and Entrance Counseling for their funds to disburse.
10000,What are the consequences of default?,"•	You may be subject to court action requiring total repayment of your loan.
•	Your credit rating can be severely damaged, making it difficult to borrow money for a car or home, or to receive credit cards.
•	The default status can remain on your credit report for several years after you pay the loan in full.
•	Your federal Treasury payments (including federal tax refunds) and state income tax refunds may be withheld.
•	Up to 15 percent of your disposable income can be garnished (administrative wage garnishment) without a court order.
•	You won't be eligible to receive any more federal financial aid (and possibly state aid) unless you make acceptable arrangements to repay what you already owe.
•	You may be ineligible for assistance under most federal benefit programs.
•	You'll be ineligible for deferments or forbearance.
•	You'll be liable for the costs associated with collecting your loan up to 24 percent of your principal and interest balance, plus court costs and attorney fees.
•	You may not be able to renew a professional license you hold or may jeopardize your chances for certain types of employment.
•	Your loan may be assigned to a professional collection agency."
10000,What is an incentive repayment plan?,"Certain loan servicers may offer an incentive plan for borrowers who make timely payments (i.e., interest rate and/or fee reductions for borrowers who make 48 consecutive on-time payments). Check with your loan servicer for available options."
10000,How do I apply for a scholarship at the University of Houston?,"For most UH-funded scholarships, your application for admission serves as your scholarship application as well. Others require that you submit the FAFSA and provide additional documentation. Additional outside scholarships for admitted UH students maybe found via Scholarship Universe, an application located within your accessUH login. Look for the green icon! "
