Name,Province
"NHTI, Concord's Community College",New Hampshire
River Valley Community College,New Hampshire
White Mountains Community College,New Hampshire
Granite State College,New Hampshire
Keene State College,New Hampshire
Plymouth State University,New Hampshire
University of New Hampshire,New Hampshire
University of New Hampshire at Manchester,New Hampshire
University of New Hampshire School of Law,New Hampshire
Antioch University New England,New Hampshire
Colby-Sawyer College,New Hampshire
Dartmouth College,New Hampshire
Franklin Pierce University,New Hampshire
Hellenic American University,New Hampshire
Magdalen College of the Liberal Arts,New Hampshire
New England College,New Hampshire
Rivier University,New Hampshire
Saint Anselm College,New Hampshire
Southern New Hampshire University,New Hampshire
Thomas More College of Liberal Arts,New Hampshire
The College of New Jersey,New Jersey
Kean University,New Jersey
Montclair State University,New Jersey
New Jersey City University,New Jersey
New Jersey Institute of Technology,New Jersey
Ramapo College,New Jersey
Rowan University,New Jersey
Rutgers University,New Jersey
Stockton University,New Jersey
Thomas Edison State University,New Jersey
William Paterson University,New Jersey
Bloomfield College,New Jersey
Caldwell University,New Jersey
Centenary University,New Jersey
Drew University,New Jersey
Fairleigh Dickinson University,New Jersey
Felician University,New Jersey
Georgian Court University,New Jersey
Monmouth University,New Jersey
Princeton University,New Jersey
Rider University,New Jersey
Saint Elizabeth University,New Jersey
St. Peter's University,New Jersey
Seton Hall University,New Jersey
Stevens Institute of Technology,New Jersey
Atlantic Cape Community College,New Jersey
Bergen Community College,New Jersey
Brookdale Community College,New Jersey
Rowan College at Burlington County,New Jersey
Camden County College,New Jersey
County College of Morris,New Jersey
Essex County College,New Jersey
Rowan College of South Jersey,New Jersey
Hudson County Community College,New Jersey
Mercer County Community College,New Jersey
Middlesex College,New Jersey
Ocean County College,New Jersey
Passaic County Community College,New Jersey
Raritan Valley Community College,New Jersey
Salem Community College,New Jersey
Sussex County Community College,New Jersey
Union County College,New Jersey
Warren County Community College,New Jersey
Berkeley College,New Jersey
DeVry University,New Jersey
Divers Academy International,New Jersey
Eastern International College,New Jersey
Eastwick College,New Jersey
Jersey College,New Jersey
Lincoln Technical Institute,New Jersey
Strayer University,New Jersey
University of Phoenix,New Jersey
Pillar College,New Jersey
Assumption College for Sisters,New Jersey
Drew Theological School,New Jersey
New Brunswick Theological Seminary,New Jersey
Princeton Theological Seminary,New Jersey
Bais Medrash Toras Chesed,New Jersey
Beth Medrash Govoha,New Jersey
Mesivta Keser Torah,New Jersey
Rabbi Jacob Joseph School,New Jersey
Rabbinical College of America,New Jersey
Talmudical Academy of Central New Jersey,New Jersey
Yeshivas Be'er Yitzchok,New Jersey
Yeshiva Gedola Zichron Leyma,New Jersey
Yeshiva Toras Chaim,New Jersey
Yeshivat Yesodei HaTorah,New Jersey
Lincoln University,Pennsylvania
The Pennsylvania State University,Pennsylvania
University of Pittsburgh,Pennsylvania
Temple University,Pennsylvania
Penn State Abington,Pennsylvania
Penn State Altoona,Pennsylvania
Penn State Beaver,Pennsylvania
Penn State Berks,Pennsylvania
Penn State Brandywine,Pennsylvania
Penn State University College of Medicine,Pennsylvania
Penn State Dickinson Law,Pennsylvania
Penn State DuBois,Pennsylvania
"Penn State Erie, The Behrend College",Pennsylvania
"Penn State Fayette, The Eberly Campus",Pennsylvania
Penn State Great Valley School of Graduate Professional Studies,Pennsylvania
Penn State Greater Allegheny,Pennsylvania
Penn State Harrisburg,Pennsylvania
Penn State Hazleton,Pennsylvania
Penn State Lehigh Valley,Pennsylvania
Penn State Mont Alto,Pennsylvania
Penn State New Kensington,Pennsylvania
Penn State Schuylkill,Pennsylvania
Penn State Shenango,Pennsylvania
Penn State Wilkes-Barre,Pennsylvania
Penn State Scranton,Pennsylvania
Penn State York,Pennsylvania
Pennsylvania College of Technology,Pennsylvania
Bloomsburg University of Pennsylvania,Pennsylvania
California University of Pennsylvania,Pennsylvania
Cheyney University of Pennsylvania,Pennsylvania
Clarion University of Pennsylvania,Pennsylvania
East Stroudsburg University of Pennsylvania,Pennsylvania
Edinboro University of Pennsylvania,Pennsylvania
Indiana University of Pennsylvania,Pennsylvania
Kutztown University of Pennsylvania,Pennsylvania
Lock Haven University of Pennsylvania,Pennsylvania
Mansfield University of Pennsylvania,Pennsylvania
Millersville University of Pennsylvania,Pennsylvania
Shippensburg University of Pennsylvania,Pennsylvania
Slippery Rock University of Pennsylvania,Pennsylvania
West Chester University,Pennsylvania
West Chester University in Philadelphia,Pennsylvania
Community College of Allegheny County (Allegheny campus),Pennsylvania
Community College of Allegheny County (Boyce campus),Pennsylvania
Community College of Allegheny County (north campus),Pennsylvania
Community College of Allegheny County (south campus),Pennsylvania
Community College of Beaver County,Pennsylvania
Bucks County Community College (Newtown campus),Pennsylvania
Bucks County Community College (Lower Bucks campus),Pennsylvania
Bucks County Community College (Upper Bucks campus),Pennsylvania
Butler County Community College,Pennsylvania
Delaware County Community College (Marple campus),Pennsylvania
Delaware County Community College (Downingtown campus),Pennsylvania
"Harrisburg Area Community College, Central Pennsylvania's Community College (Harrisburg campus)",Pennsylvania
"Harrisburg Area Community College, Central Pennsylvania's Community College (Lancaster campus)",Pennsylvania
"Harrisburg Area Community College, Central Pennsylvania's Community College (York campus)",Pennsylvania
"Harrisburg Area Community College, Central Pennsylvania's Community College (Gettysburg campus)",Pennsylvania
"Harrisburg Area Community College, Central Pennsylvania's Community College (Lebanon campus)",Pennsylvania
Lehigh Carbon Community College (main campus),Pennsylvania
Lehigh Carbon Community College (Donley center and Baum School of Art),Pennsylvania
Lehigh Carbon Community College (Morgan center),Pennsylvania
Lehigh Carbon Community College (Lehigh Valley airport),Pennsylvania
Luzerne County Community College (main campus),Pennsylvania
Luzerne County Community College (Berwick center),Pennsylvania
Luzerne County Community College (Hazleton center),Pennsylvania
Luzerne County Community College (Kulpmont center),Pennsylvania
Luzerne County Community College (Pittston center),Pennsylvania
Luzerne County Community College (Scranton center),Pennsylvania
Luzerne County Community College (Northumberland regional higher education center),Pennsylvania
Luzerne County Community College (Wilkes-Barre center),Pennsylvania
Montgomery County Community College (central campus),Pennsylvania
Montgomery County Community College (west campus),Pennsylvania
Northampton County Area Community College (main campus),Pennsylvania
Northampton County Area Community College (Monroe campus),Pennsylvania
Pennsylvania Highlands Community College,Pennsylvania
Community College of Philadelphia,Pennsylvania
Reading Area Community College,Pennsylvania
Thaddeus Stevens College of Technology,Pennsylvania
Westmoreland County Community College,Pennsylvania
Pittsburgh Technical College,Pennsylvania
University of Pittsburgh at Titusville educational and training hub,Pennsylvania
University of Pittsburgh at Bradford,Pennsylvania
University of Pittsburgh at Greensburg,Pennsylvania
University of Pittsburgh at Johnstown,Pennsylvania
Temple University Ambler,Pennsylvania
Alvernia University,Pennsylvania
Arcadia University,Pennsylvania
Bryn Mawr College,Pennsylvania
Carlow University,Pennsylvania
Carnegie Mellon University,Pennsylvania
Chestnut Hill College,Pennsylvania
DeSales University,Pennsylvania
Drexel University,Pennsylvania
Duquesne University of the Holy Spirit,Pennsylvania
Eastern University,Pennsylvania
Gannon University,Pennsylvania
Gratz College,Pennsylvania
Holy Family University,Pennsylvania
Holy Family University (Newtown campus),Pennsylvania
Immaculata University,Pennsylvania
La Salle University,Pennsylvania
Lehigh University,Pennsylvania
Marywood University,Pennsylvania
Misericordia University,Pennsylvania
Neumann University,Pennsylvania
University of Pennsylvania,Pennsylvania
Robert Morris University,Pennsylvania
Saint Francis University,Pennsylvania
Saint Joseph's University,Pennsylvania
University of Scranton,Pennsylvania
University of the Sciences,Pennsylvania
Thomas Jefferson University,Pennsylvania
Villanova University,Pennsylvania
Waynesburg University,Pennsylvania
Widener University,Pennsylvania
Wilkes University,Pennsylvania
Yeshivah Bais Moshe,Pennsylvania
Missio Seminary,Pennsylvania
Byzantine Catholic Seminary of Saints Cyril and Methodius,Pennsylvania
Calvary Baptist Theological Seminary,Pennsylvania
Christ the Saviour Seminary of American Carpatho-Russian Orthodox Diocese,Pennsylvania
Geisinger Commonwealth School of Medicine,Pennsylvania
Evangelical Seminary,Pennsylvania
Lancaster Theological Seminary,Pennsylvania
Lake Erie College of Osteopathic Medicine,Pennsylvania
United Lutheran Seminary,Pennsylvania
United Lutheran Seminary,Pennsylvania
Palmer Theological Seminary,Pennsylvania
Pittsburgh Theological Seminary,Pennsylvania
Philadelphia College of Osteopathic Medicine,Pennsylvania
Reformed Episcopal Seminary,Pennsylvania
Reformed Presbyterian Theological Seminary,Pennsylvania
Reconstructionist Rabbinical College,Pennsylvania
Respect Graduate School,Pennsylvania
Saint Charles Borromeo Seminary,Pennsylvania
Saint Tikhon's Orthodox Theological Seminary,Pennsylvania
Salus University,Pennsylvania
Trinity School for Ministry,Pennsylvania
United States Army War College,Pennsylvania
Westminster Theological Seminary,Pennsylvania
Won Institute of Graduate Studies,Pennsylvania
Albright College,Pennsylvania
Allegheny College,Pennsylvania
The American College of Financial Services,Pennsylvania
Bryn Athyn College of the New Church,Pennsylvania
Bucknell University,Pennsylvania
Cabrini University,Pennsylvania
Cairn University,Pennsylvania
Cedar Crest College,Pennsylvania
Central Penn College,Pennsylvania
Chatham University,Pennsylvania
Delaware Valley University,Pennsylvania
Dickinson College,Pennsylvania
Elizabethtown College,Pennsylvania
Franklin and Marshall College,Pennsylvania
Geneva College,Pennsylvania
Gettysburg College,Pennsylvania
Grove City College,Pennsylvania
Gwynedd Mercy University,Pennsylvania
Harrisburg University of Science and Technology,Pennsylvania
Haverford College,Pennsylvania
Juniata College,Pennsylvania
Keystone College,Pennsylvania
King's College (The College of Christ the King),Pennsylvania
La Roche University,Pennsylvania
Lafayette College,Pennsylvania
Lebanon Valley College,Pennsylvania
Lycoming College,Pennsylvania
Mercyhurst University,Pennsylvania
Messiah University,Pennsylvania
Moravian University,Pennsylvania
Mount Aloysius College,Pennsylvania
Muhlenberg College,Pennsylvania
Peirce College,Pennsylvania
Point Park University,Pennsylvania
Rosemont College,Pennsylvania
Saint Vincent College,Pennsylvania
Saint Vincent Seminary,Pennsylvania
Seton Hill University,Pennsylvania
Susquehanna University,Pennsylvania
Swarthmore College,Pennsylvania
Thiel College,Pennsylvania
Ursinus College,Pennsylvania
Washington & Jefferson College,Pennsylvania
Westminster College,Pennsylvania
Wilson College,Pennsylvania
York College of Pennsylvania,Pennsylvania
The University of the Arts,Pennsylvania
Curtis Institute of Music,Pennsylvania
Pennsylvania College of Health Sciences,Pennsylvania
Moore College of Art and Design,Pennsylvania
Pennsylvania Academy of the Fine Arts,Pennsylvania
Pennsylvania College of Art and Design,Pennsylvania
Harcum College,Pennsylvania
Hussian School of Art,Pennsylvania
Johnson College,Pennsylvania
Lackawanna College (main campus),Pennsylvania
Lackawanna College,Pennsylvania
Lackawanna College,Pennsylvania
Lackawanna College,Pennsylvania
Lackawanna College,Pennsylvania
Lackawanna College,Pennsylvania
Lackawanna College,Pennsylvania
Manor College,Pennsylvania
Mercyhurst North East,Pennsylvania
Pennsylvania Institute of Technology,Pennsylvania
Pittsburgh Institute of Aeronautics,Pennsylvania
Pittsburgh Institute of Mortuary Science,Pennsylvania
Valley Forge Military Academy and College,Pennsylvania
University of Valley Forge,Pennsylvania
Clarks Summit University,Pennsylvania
Lancaster Bible College,Pennsylvania
Talmudical Yeshiva of Philadelphia,Pennsylvania
Antonelli College,Pennsylvania
Schuylkill Institute of Business and Technology,Pennsylvania
Bradford School,Pennsylvania
Brightwood College,Pennsylvania
Cambria-Rowe Business College,Pennsylvania
Career Training Academy,Pennsylvania
Consolidated School of Business,Pennsylvania
Rosedale Technical College,Pennsylvania
Delaware Valley Academy of Medical and Dental Assistants,Pennsylvania
Douglas Education Center,Pennsylvania
DeVry University,Pennsylvania
Erie Institute of Technology,Pennsylvania
Altierus Career College (Bensalem campus),Pennsylvania
Fortis College (Forty Fort campus),Pennsylvania
Fortis College (Scranton campus),Pennsylvania
JNA Institute of Culinary Arts,Pennsylvania
Keystone Technical Institute,Pennsylvania
Lansdale School of Business,Pennsylvania
Laurel Business Institute,Pennsylvania
Laurel Technical Institute,Pennsylvania
Laurel Technical Institute,Pennsylvania
Lincoln Tech (Allentown campus),Pennsylvania
Lincoln Tech (Philadelphia campus),Pennsylvania
McCann School of Business and Technology,Pennsylvania
McCann School of Business and Technology,Pennsylvania
New Castle School of Trades,Pennsylvania
Orleans Technical College,Pennsylvania
Pennco Tech,Pennsylvania
Penn Commercial Business and Technical School,Pennsylvania
Special Focus Two-Year: Health Professions,Pennsylvania
University of Phoenix,Pennsylvania
Precision Manufacturing Institute,Pennsylvania
Prism Career Institute,Pennsylvania
The Restaurant School at Walnut Hill College,Pennsylvania
South Hills School of Business and Technology (main campus),Pennsylvania
South Hills School of Business and Technology,Pennsylvania
Star Technical Institute,Pennsylvania
Strayer University (Lower Bucks County campus),Pennsylvania
Strayer University (Allentown campus),Pennsylvania
Strayer University (Center City campus),Pennsylvania
Strayer University (Delaware County campus),Pennsylvania
Triangle Tech (Bethlehem campus),Pennsylvania
Triangle Tech (DuBois campus),Pennsylvania
Triangle Tech (Greensburg campus),Pennsylvania
Triangle Tech (Pittsburgh campus),Pennsylvania
Triangle Tech (Sunbury campus),Pennsylvania
Triangle Tech (Chambersburg campus),Pennsylvania
Vet Tech Institute,Pennsylvania
YTI Career Institute (Altoona campus),Pennsylvania
YTI Career Institute (York campus),Pennsylvania
Academy of Vocal Arts,Pennsylvania
All-State Career School,Pennsylvania
All-State Career School,Pennsylvania
International Institute for Restorative Practices,Pennsylvania
Commonwealth Technical Institute,Pennsylvania
Commonwealth Technical Institute at the Hiram G. Andrews Center,Pennsylvania
Central Pennsylvania Institute of Science and Technology,Pennsylvania
ASPIRA City College,Pennsylvania
Williamson College of the Trades,Pennsylvania
United Career Institute,Pennsylvania
Pittsburgh Career Institute,Pennsylvania
Princeton Information Technology Center Institute,Pennsylvania
Northern Pennsylvania Regional College,Pennsylvania
Berks Technical Institute,Pennsylvania
Lancaster County Career and Technology Center,Pennsylvania
Institute of Medical and Business Careers,Pennsylvania
Great Lakes Institute of Technology,Pennsylvania
Brown University,Rhode Island
Bryant University,Rhode Island
College Unbound,Rhode Island
Community College of Rhode Island,Rhode Island
Johnson & Wales University,Rhode Island
Naval War College,Rhode Island
New England Institute of Technology,Rhode Island
Providence College,Rhode Island
Rhode Island College,Rhode Island
Rhode Island School of Design,Rhode Island
Roger Williams University,Rhode Island
Salve Regina University,Rhode Island
University of Rhode Island,Rhode Island
Bennington College,Vermont
Castleton University,Vermont
Champlain College,Vermont
Community College of Vermont,Vermont
Goddard College,Vermont
Landmark College,Vermont
Middlebury College,Vermont
Northern Vermont University,Vermont
Norwich University,Vermont
Saint Michael's College,Vermont
SIT Graduate Institute,Vermont
Sterling College,Vermont
University of Vermont,Vermont
Vermont College of Fine Arts,Vermont
Vermont Law School,Vermont
Vermont Technical College,Vermont
Northeastern Baptist College,Vermont
American University,"Washington, D.C."
Bay Atlantic University,"Washington, D.C."
Catholic University of America,"Washington, D.C."
Gallaudet University,"Washington, D.C."
George Washington University,"Washington, D.C."
Georgetown University,"Washington, D.C."
Howard University,"Washington, D.C."
Institute of World Politics,"Washington, D.C."
Inter-American Defense College,"Washington, D.C."
National Intelligence University,"Washington, D.C."
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,"Washington, D.C."
Pontifical John Paul II Institute for Studies on Marriage and Family at The Catholic University of America,"Washington, D.C."
Strayer University–District of Columbia,"Washington, D.C."
Trinity Washington University,"Washington, D.C."
University of Phoenix–Washington DC Campus,"Washington, D.C."
University of the District of Columbia,"Washington, D.C."
University of the Potomac–Washington DC Campus,"Washington, D.C."
Wesley Theological Seminary,"Washington, D.C."
Quantic School of Business and Technology,"Washington, D.C."
Human Resources University,"Washington, D.C."
National Defense University,"Washington, D.C."
NewU University,"Washington, D.C."
Johns Hopkins University Carey Business School,"Washington, D.C."
Johns Hopkins University Paul H. Nitze School of Advanced International Studies,"Washington, D.C."
St. Paul's College,"Washington, D.C."
University of Guam,Guam
Guam Community College,Guam
Pacific Islands Bible College,Guam
University of the Virgin Islands,U.S. Virgin Islands
Caribbean University,Puerto Rico
National University College,Puerto Rico
Ponce Health Sciences University,Puerto Rico
Pontificia Universidad Católica de Puerto Rico,Puerto Rico
Pontificia Universidad Católica de Puerto Rico Escuela de Arquitectura,Puerto Rico
Universidad Ana G. Méndez,Puerto Rico
Universidad de Puerto Rico,Puerto Rico
Universidad Interamericana de Puerto Rico,Puerto Rico
American University of Puerto Rico,Puerto Rico
Metropolitan University,Puerto Rico
Ana G. Méndez University,Puerto Rico
Turabo University,Puerto Rico
Eastern University,Puerto Rico
Antillean Adventist University,Puerto Rico
Atlantic University College,Puerto Rico
Bayamon Central University,Puerto Rico
Biblical and Pentecostal College of Puerto Rico,Puerto Rico
"Carlos Albizu University, San Juan Campus",Puerto Rico
Center for Advanced Studies on Puerto Rico and the Caribbean,Puerto Rico
Central University of the Caribbean,Puerto Rico
Conservatory of Music of Puerto Rico,Puerto Rico
Evangelical Seminary of Puerto Rico,Puerto Rico
Interamerican University of Puerto Rico,Puerto Rico
Mizpa Pentecostal University,Puerto Rico
National University College,Puerto Rico
Polytechnic University of Puerto Rico,Puerto Rico
Ponce Health Sciences University,Puerto Rico
Pontifical Catholic University of Puerto Rico,Puerto Rico
San Juan Bautista School of Medicine,Puerto Rico
Escuela de Artes Plásticas y Diseño de Puerto Rico,Puerto Rico
University of Puerto Rico,Puerto Rico
University of the Sacred Heart,Puerto Rico
